subscriber_id,signup_date,plan,country,acquisition_channel,primary_device,age_group,preferred_genre,lifecycle_stage,churn_date,monthly_spend_usd,nps_score,is_bundled,has_showtime_add_on,Segment
SUB00022,10/16/23,Essential,US,Partner Bundle,Tablet,45-54,Drama,Reactivated,,$5.99,6,TRUE,FALSE,Standard
SUB00023,2/22/22,Essential,US,App Store,Desktop,45-54,Procedural,Active,,$5.99,1,TRUE,FALSE,Standard
SUB00024,6/2/22,Essential,US,Partner Bundle,Desktop,18-24,Thriller,Churned,5/9/23,$5.99,10,TRUE,FALSE,Standard
SUB00025,3/5/24,Paramount+ with Showtime,CA,TV Ad,Roku,45-54,Animation,Active,,$11.99,,TRUE,TRUE,High Value
SUB00026,9/17/23,Essential,US,Email Campaign,Fire TV,18-24,Procedural,Winback,,$5.99,,TRUE,FALSE,Standard
SUB00027,7/20/23,Paramount+ with Showtime,MX,Referral,Roku,18-24,Drama,New,,$11.99,,TRUE,TRUE,Standard
SUB00028,10/23/22,Essential,CA,TV Ad,Fire TV,18-24,SciFi,Churned,2/29/24,$5.99,4,FALSE,FALSE,Standard
SUB00029,4/28/22,Essential,CA,TV Ad,Smart TV,55,Procedural,Active,,$5.99,,FALSE,FALSE,Standard
SUB00030,9/2/23,Essential,MX,Referral,Tablet,45-54,Drama,Churned,2/26/24,$5.99,5,FALSE,FALSE,Standard
SUB00031,3/25/23,Paramount+ with Showtime,UK,Partner Bundle,Tablet,18-24,Reality,New,,$11.99,,TRUE,TRUE,Standard
SUB00032,2/23/24,Annual,US,TV Ad,Smart TV,35-44,Drama,At-Risk,,$9.99,8,FALSE,FALSE,Flag
SUB00033,7/5/22,Paramount+ with Showtime,US,App Store,Tablet,45-54,Animation,Winback,,$11.99,,TRUE,TRUE,Standard
SUB00034,5/28/24,Paramount+ with Showtime,CA,Referral,Desktop,35-44,Drama,Active,,$11.99,1,FALSE,TRUE,High Value
SUB00035,4/1/22,Essential,AU,TV Ad,Roku,35-44,Drama,Active,,$5.99,9,FALSE,FALSE,Standard
SUB00036,2/28/23,Paramount+ with Showtime,MX,Referral,Desktop,45-54,Drama,New,,$11.99,,FALSE,TRUE,Standard
SUB00037,7/17/23,Paramount+ with Showtime,MX,Organic Search,Mobile,35-44,Drama,Active,,$11.99,4,TRUE,TRUE,High Value
SUB00038,11/15/22,Paramount+ with Showtime,US,Paid Social,Mobile,45-54,Thriller,At-Risk,,$11.99,3,FALSE,TRUE,Flag
SUB00039,1/4/24,Paramount+ with Showtime,AU,TV Ad,Desktop,55,Drama,Active,,$11.99,,TRUE,TRUE,High Value
SUB00040,1/28/23,Annual,US,TV Ad,Mobile,55,Drama,Active,,$9.99,7,FALSE,FALSE,Standard
SUB00041,3/17/24,Paramount+ with Showtime,CA,TV Ad,Roku,18-24,SciFi,Active,,$11.99,8,TRUE,TRUE,High Value
SUB00042,4/3/23,Paramount+ with Showtime,AU,App Store,Tablet,35-44,Thriller,Active,,$11.99,,TRUE,TRUE,High Value
SUB00043,8/9/23,Essential,UK,Referral,Desktop,35-44,Drama,Active,,$5.99,7,FALSE,FALSE,Standard
SUB00044,11/11/23,Paramount+ with Showtime,US,Paid Social,Roku,25-34,SciFi,Churned,5/25/24,$11.99,,TRUE,TRUE,Standard
SUB00045,6/14/24,Annual,MX,Organic Search,Fire TV,18-24,Procedural,Churned,7/14/24,$9.99,3,TRUE,FALSE,Standard
SUB00046,4/26/23,Annual,AU,Referral,Mobile,35-44,Thriller,Churned,10/8/23,$9.99,,FALSE,FALSE,Standard
SUB00047,11/21/22,Annual,US,Partner Bundle,Mobile,45-54,Comedy,At-Risk,,$9.99,5,TRUE,FALSE,Flag
SUB00048,2/4/24,Essential,MX,Paid Social,Fire TV,18-24,Thriller,New,,$5.99,1,FALSE,FALSE,Standard
SUB00049,3/26/24,Paramount+ with Showtime,AU,Paid Social,Smart TV,35-44,Drama,New,,$11.99,3,TRUE,TRUE,Standard
SUB00050,6/29/22,Annual,US,App Store,Roku,35-44,Procedural,New,,$9.99,,FALSE,FALSE,Standard
SUB00051,4/16/23,Paramount+ with Showtime,CA,Referral,Roku,18-24,Drama,Active,,$11.99,,FALSE,TRUE,High Value
SUB00052,8/25/23,Paramount+ with Showtime,MX,TV Ad,Tablet,45-54,Drama,Active,,$11.99,8,TRUE,TRUE,High Value
SUB00053,8/31/22,Annual,CA,Referral,Tablet,35-44,Reality,Active,,$9.99,7,FALSE,FALSE,Standard
SUB00054,1/9/22,Essential,MX,TV Ad,Tablet,55,Drama,At-Risk,,$5.99,10,FALSE,FALSE,Flag
SUB00055,8/13/22,Paramount+ with Showtime,US,Referral,Mobile,55,Drama,At-Risk,,$11.99,1,FALSE,TRUE,Flag
SUB00056,3/18/24,Paramount+ with Showtime,US,Organic Search,Tablet,55,Procedural,Active,,$11.99,3,TRUE,TRUE,High Value
SUB00057,5/16/22,Annual,CA,TV Ad,Smart TV,45-54,Drama,Churned,6/24/23,$9.99,8,FALSE,FALSE,Standard
SUB00058,2/4/24,Paramount+ with Showtime,US,Paid Social,Smart TV,25-34,Thriller,Reactivated,,$11.99,7,FALSE,TRUE,Standard
SUB00059,4/3/22,Annual,US,App Store,Tablet,25-34,Drama,Churned,5/17/22,$9.99,5,FALSE,FALSE,Standard
SUB00060,4/22/24,Essential,US,App Store,Mobile,35-44,Thriller,At-Risk,,$5.99,9,FALSE,FALSE,Flag
SUB00061,9/17/23,Paramount+ with Showtime,CA,Referral,Desktop,18-24,Drama,Active,,$11.99,,TRUE,TRUE,High Value
SUB00062,11/8/22,Essential,US,Partner Bundle,Smart TV,25-34,Procedural,Winback,,$5.99,9,FALSE,FALSE,Standard
SUB00063,8/25/23,Essential,MX,Partner Bundle,Desktop,35-44,Drama,Churned,12/12/23,$5.99,,FALSE,FALSE,Standard
SUB00064,8/11/22,Paramount+ with Showtime,US,Referral,Tablet,25-34,Drama,Active,,$11.99,6,TRUE,TRUE,High Value
SUB00065,2/12/23,Paramount+ with Showtime,US,Referral,Smart TV,25-34,Drama,Active,,$11.99,1,TRUE,TRUE,High Value
SUB00066,3/16/24,Annual,US,Organic Search,Roku,25-34,Drama,Active,,$9.99,4,FALSE,FALSE,Standard
SUB00067,3/3/24,Essential,CA,TV Ad,Smart TV,55,Procedural,Active,,$5.99,3,TRUE,FALSE,Standard
SUB00068,11/8/23,Essential,UK,TV Ad,Smart TV,25-34,SciFi,Reactivated,,$5.99,,TRUE,FALSE,Standard
SUB00069,9/29/22,Paramount+ with Showtime,US,Referral,Mobile,55,Drama,New,,$11.99,6,TRUE,TRUE,Standard
SUB00070,4/8/23,Essential,CA,App Store,Fire TV,55,Reality,Active,,$5.99,,FALSE,FALSE,Standard
SUB00071,5/17/24,Essential,MX,Referral,Desktop,55,Procedural,Active,,$5.99,6,TRUE,FALSE,Standard
SUB00072,3/9/22,Annual,UK,App Store,Roku,55,Drama,Active,,$9.99,,FALSE,FALSE,Standard
SUB00073,4/12/22,Annual,US,App Store,Desktop,55,Drama,Churned,9/6/22,$9.99,,FALSE,FALSE,Standard
SUB00074,4/27/24,Essential,UK,App Store,Tablet,35-44,Drama,Active,,$5.99,,TRUE,FALSE,Standard
SUB00075,12/5/23,Essential,US,Organic Search,Desktop,18-24,Drama,Reactivated,,$5.99,6,TRUE,FALSE,Standard
SUB00076,7/24/23,Annual,UK,Referral,Mobile,45-54,Animation,New,,$9.99,,FALSE,FALSE,Standard
SUB00077,6/7/24,Paramount+ with Showtime,CA,Email Campaign,Mobile,18-24,SciFi,Reactivated,,$11.99,3,FALSE,TRUE,Standard
SUB00078,8/18/22,Paramount+ with Showtime,US,TV Ad,Tablet,45-54,SciFi,Churned,9/10/23,$11.99,,FALSE,TRUE,Standard
SUB00079,5/15/24,Annual,US,Partner Bundle,Fire TV,55,Drama,At-Risk,,$9.99,1,TRUE,FALSE,Flag
SUB00080,10/7/22,Paramount+ with Showtime,US,Paid Social,Smart TV,35-44,SciFi,Churned,9/18/23,$11.99,2,TRUE,TRUE,Standard
SUB00081,1/29/24,Essential,US,App Store,Desktop,18-24,Thriller,At-Risk,,$5.99,,FALSE,FALSE,Flag
SUB00082,11/16/22,Essential,US,TV Ad,Roku,18-24,Drama,Churned,3/12/23,$5.99,5,FALSE,FALSE,Standard
SUB00083,11/9/23,Paramount+ with Showtime,AU,Email Campaign,Smart TV,55,Drama,Active,,$11.99,6,FALSE,TRUE,High Value
SUB00084,4/24/22,Annual,MX,Partner Bundle,Fire TV,55,Thriller,Active,,$9.99,,FALSE,FALSE,Standard
SUB00085,9/6/23,Paramount+ with Showtime,US,TV Ad,Smart TV,25-34,Drama,New,,$11.99,,FALSE,TRUE,Standard
SUB00086,5/3/22,Paramount+ with Showtime,US,Paid Social,Desktop,55,Drama,New,,$11.99,9,FALSE,TRUE,Standard
SUB00087,3/15/22,Essential,AU,Organic Search,Desktop,55,Procedural,Active,,$5.99,10,FALSE,FALSE,Standard
SUB00088,8/11/23,Paramount+ with Showtime,CA,Organic Search,Desktop,55,Reality,Active,,$11.99,3,FALSE,TRUE,High Value
SUB00089,5/1/24,Essential,AU,TV Ad,Mobile,35-44,Comedy,At-Risk,,$5.99,7,TRUE,FALSE,Flag
SUB00090,2/10/23,Paramount+ with Showtime,US,Email Campaign,Smart TV,55,Procedural,Reactivated,,$11.99,2,TRUE,TRUE,Standard
SUB00091,3/5/24,Essential,US,Organic Search,Smart TV,55,Drama,Active,,$5.99,,TRUE,FALSE,Standard
SUB00092,2/18/24,Paramount+ with Showtime,MX,TV Ad,Roku,25-34,Drama,Churned,3/28/24,$11.99,10,FALSE,TRUE,Standard
SUB00093,6/3/24,Essential,MX,Organic Search,Desktop,35-44,Thriller,Winback,,$5.99,5,TRUE,FALSE,Standard
SUB00094,12/27/22,Paramount+ with Showtime,MX,Organic Search,Mobile,35-44,Drama,Active,,$11.99,2,TRUE,TRUE,High Value
SUB00095,9/22/23,Paramount+ with Showtime,US,App Store,Roku,35-44,Drama,At-Risk,,$11.99,,FALSE,TRUE,Flag
SUB00096,5/29/23,Paramount+ with Showtime,US,TV Ad,Tablet,18-24,Drama,Active,,$11.99,,TRUE,TRUE,High Value
SUB00097,2/10/22,Paramount+ with Showtime,US,Email Campaign,Tablet,45-54,Thriller,Active,,$11.99,,FALSE,TRUE,High Value
SUB00098,11/27/23,Paramount+ with Showtime,US,Email Campaign,Mobile,55,Drama,At-Risk,,$11.99,5,FALSE,TRUE,Flag
SUB00099,1/12/24,Essential,UK,Organic Search,Roku,55,Drama,Reactivated,,$5.99,,FALSE,FALSE,Standard
SUB00100,11/14/22,Paramount+ with Showtime,US,Partner Bundle,Fire TV,55,Procedural,Winback,,$11.99,,FALSE,TRUE,Standard
SUB00101,10/21/23,Annual,US,Referral,Fire TV,25-34,Animation,Churned,6/15/24,$9.99,1,FALSE,FALSE,Standard
SUB00102,11/13/22,Paramount+ with Showtime,MX,Paid Social,Smart TV,25-34,Procedural,Active,,$11.99,,FALSE,TRUE,High Value
SUB00103,5/14/24,Annual,US,Referral,Tablet,45-54,Drama,Churned,6/29/24,$9.99,3,FALSE,FALSE,Standard
SUB00104,6/7/22,Annual,US,Referral,Desktop,55,Drama,Active,,$9.99,4,FALSE,FALSE,Standard
SUB00105,9/18/23,Paramount+ with Showtime,US,Partner Bundle,Smart TV,55,Thriller,Active,,$11.99,8,TRUE,TRUE,High Value
SUB00106,1/12/23,Paramount+ with Showtime,MX,TV Ad,Tablet,45-54,Drama,At-Risk,,$11.99,,FALSE,TRUE,Flag
SUB00107,6/15/22,Paramount+ with Showtime,US,Referral,Desktop,25-34,Thriller,Churned,3/25/24,$11.99,,TRUE,TRUE,Standard
SUB00108,12/30/23,Essential,US,Email Campaign,Desktop,35-44,Drama,Churned,2/29/24,$5.99,7,TRUE,FALSE,Standard
SUB00109,8/16/22,Paramount+ with Showtime,US,App Store,Roku,18-24,Drama,Churned,9/7/23,$11.99,,TRUE,TRUE,Standard
SUB00110,1/19/23,Essential,UK,TV Ad,Smart TV,35-44,Procedural,Active,,$5.99,,FALSE,FALSE,Standard
SUB00111,12/14/23,Annual,US,Organic Search,Mobile,45-54,Drama,Churned,5/12/24,$9.99,,TRUE,FALSE,Standard
SUB00112,7/16/23,Annual,AU,Organic Search,Tablet,55,Comedy,Reactivated,,$9.99,,TRUE,FALSE,Standard
SUB00113,9/2/22,Paramount+ with Showtime,US,Organic Search,Desktop,55,Thriller,Active,,$11.99,9,TRUE,TRUE,High Value
SUB00114,1/6/24,Essential,UK,Paid Social,Roku,45-54,Animation,Active,,$5.99,,TRUE,FALSE,Standard
SUB00115,6/21/23,Annual,US,App Store,Desktop,18-24,Drama,Winback,,$9.99,6,FALSE,FALSE,Standard
SUB00116,2/5/24,Paramount+ with Showtime,US,Referral,Fire TV,18-24,Drama,New,,$11.99,,FALSE,TRUE,Standard
SUB00117,5/17/22,Paramount+ with Showtime,US,TV Ad,Fire TV,45-54,Thriller,New,,$11.99,8,TRUE,TRUE,Standard
SUB00118,4/10/24,Paramount+ with Showtime,US,Email Campaign,Smart TV,55,Drama,Active,,$11.99,1,FALSE,TRUE,High Value
SUB00119,11/14/22,Paramount+ with Showtime,CA,Organic Search,Fire TV,45-54,Drama,Active,,$11.99,,TRUE,TRUE,High Value
SUB00120,6/5/24,Essential,UK,App Store,Desktop,35-44,Drama,At-Risk,,$5.99,7,FALSE,FALSE,Flag
SUB00121,7/11/22,Paramount+ with Showtime,CA,TV Ad,Mobile,45-54,Drama,Active,,$11.99,7,TRUE,TRUE,High Value
SUB00122,7/13/23,Essential,UK,Referral,Tablet,18-24,Thriller,Active,,$5.99,7,TRUE,FALSE,Standard
SUB00123,12/8/23,Essential,UK,Partner Bundle,Desktop,45-54,Drama,Active,,$5.99,1,TRUE,FALSE,Standard
SUB00124,11/19/23,Annual,US,Organic Search,Smart TV,35-44,Thriller,At-Risk,,$9.99,8,TRUE,FALSE,Flag
SUB00125,5/10/22,Paramount+ with Showtime,UK,App Store,Roku,55,Drama,New,,$11.99,8,FALSE,TRUE,Standard
SUB00126,1/16/23,Annual,US,Partner Bundle,Tablet,18-24,Procedural,Active,,$9.99,,FALSE,FALSE,Standard
SUB00127,9/13/22,Essential,MX,Partner Bundle,Desktop,18-24,Drama,Winback,,$5.99,,FALSE,FALSE,Standard
SUB00128,12/22/23,Paramount+ with Showtime,MX,Paid Social,Mobile,55,Procedural,Active,,$11.99,8,TRUE,TRUE,High Value
SUB00129,1/1/24,Paramount+ with Showtime,UK,Referral,Mobile,18-24,Drama,Active,,$11.99,5,TRUE,TRUE,High Value
SUB00130,12/30/23,Annual,US,Organic Search,Smart TV,35-44,Procedural,Churned,3/13/24,$9.99,,FALSE,FALSE,Standard
SUB00131,1/27/22,Paramount+ with Showtime,MX,TV Ad,Roku,45-54,Procedural,Active,,$11.99,2,TRUE,TRUE,High Value
SUB00132,11/13/22,Paramount+ with Showtime,AU,TV Ad,Desktop,55,Drama,Active,,$11.99,3,FALSE,TRUE,High Value
SUB00133,10/20/23,Annual,UK,Paid Social,Roku,45-54,Drama,New,,$9.99,3,FALSE,FALSE,Standard
SUB00134,5/30/23,Essential,US,Email Campaign,Smart TV,18-24,Drama,Reactivated,,$5.99,,TRUE,FALSE,Standard
SUB00135,12/21/22,Paramount+ with Showtime,US,Email Campaign,Smart TV,45-54,Drama,Reactivated,,$11.99,5,TRUE,TRUE,Standard
SUB00136,10/3/23,Essential,US,Partner Bundle,Roku,45-54,Procedural,Active,,$5.99,,FALSE,FALSE,Standard
SUB00137,5/12/24,Essential,US,Organic Search,Fire TV,18-24,Drama,Reactivated,,$5.99,4,FALSE,FALSE,Standard
SUB00138,9/25/23,Annual,CA,Referral,Tablet,45-54,Drama,At-Risk,,$9.99,,FALSE,FALSE,Flag
SUB00139,11/1/22,Essential,US,App Store,Desktop,55,Drama,Active,,$5.99,6,TRUE,FALSE,Standard
SUB00140,11/17/22,Paramount+ with Showtime,AU,Paid Social,Tablet,35-44,Drama,Reactivated,,$11.99,6,TRUE,TRUE,Standard
SUB00141,4/23/23,Essential,US,Organic Search,Mobile,45-54,Thriller,Active,,$5.99,10,FALSE,FALSE,Standard
SUB00142,9/12/22,Paramount+ with Showtime,UK,Paid Social,Smart TV,25-34,Drama,Winback,,$11.99,8,FALSE,TRUE,Standard
SUB00143,6/19/24,Essential,AU,Partner Bundle,Desktop,18-24,Comedy,Active,,$5.99,,FALSE,FALSE,Standard
SUB00144,2/19/22,Annual,MX,Email Campaign,Roku,45-54,Reality,New,,$9.99,7,TRUE,FALSE,Standard
SUB00145,6/22/24,Paramount+ with Showtime,UK,Organic Search,Desktop,35-44,Drama,Active,,$11.99,4,FALSE,TRUE,High Value
SUB00146,7/21/23,Annual,MX,TV Ad,Roku,35-44,Drama,Active,,$9.99,10,TRUE,FALSE,Standard
SUB00147,5/12/22,Paramount+ with Showtime,UK,Partner Bundle,Tablet,35-44,Drama,Winback,,$11.99,,FALSE,TRUE,Standard
SUB00148,5/28/23,Essential,UK,TV Ad,Desktop,18-24,Drama,New,,$5.99,10,TRUE,FALSE,Standard
SUB00149,12/2/22,Essential,AU,Partner Bundle,Fire TV,35-44,Drama,Reactivated,,$5.99,,FALSE,FALSE,Standard
SUB00150,6/4/23,Annual,CA,App Store,Mobile,45-54,Drama,Churned,4/1/24,$9.99,,TRUE,FALSE,Standard
SUB00151,3/3/23,Essential,MX,Email Campaign,Fire TV,55,Procedural,At-Risk,,$5.99,10,TRUE,FALSE,Flag
SUB00152,1/9/24,Essential,AU,Paid Social,Fire TV,45-54,Comedy,New,,$5.99,,TRUE,FALSE,Standard
SUB00153,7/15/22,Paramount+ with Showtime,US,App Store,Fire TV,35-44,Drama,New,,$11.99,10,FALSE,TRUE,Standard
SUB00154,6/12/24,Essential,US,Partner Bundle,Smart TV,55,Drama,Churned,7/12/24,$5.99,,FALSE,FALSE,Standard
SUB00155,6/23/23,Paramount+ with Showtime,UK,Partner Bundle,Tablet,25-34,Drama,Active,,$11.99,5,FALSE,TRUE,High Value
SUB00156,7/16/22,Annual,CA,Paid Social,Tablet,35-44,Drama,Winback,,$9.99,,TRUE,FALSE,Standard
SUB00157,12/8/23,Paramount+ with Showtime,CA,Email Campaign,Mobile,45-54,SciFi,Churned,3/28/24,$11.99,7,FALSE,TRUE,Standard
SUB00158,4/18/24,Paramount+ with Showtime,US,Email Campaign,Fire TV,25-34,Procedural,Active,,$11.99,,FALSE,TRUE,High Value
SUB00159,11/3/23,Essential,US,TV Ad,Roku,45-54,Drama,Active,,$5.99,5,TRUE,FALSE,Standard
SUB00160,4/22/22,Essential,US,Organic Search,Fire TV,55,Drama,At-Risk,,$5.99,4,TRUE,FALSE,Flag
SUB00161,4/13/22,Paramount+ with Showtime,US,Referral,Smart TV,55,Reality,Active,,$11.99,3,FALSE,TRUE,High Value
SUB00162,10/31/23,Paramount+ with Showtime,US,TV Ad,Tablet,45-54,Procedural,Reactivated,,$11.99,,TRUE,TRUE,Standard
SUB00163,2/27/24,Essential,US,Paid Social,Desktop,45-54,Drama,New,,$5.99,1,FALSE,FALSE,Standard
SUB00164,3/17/24,Paramount+ with Showtime,US,Organic Search,Tablet,55,SciFi,Active,,$11.99,6,FALSE,TRUE,High Value
SUB00165,4/11/23,Annual,MX,Paid Social,Roku,45-54,Thriller,Winback,,$9.99,,TRUE,FALSE,Standard
SUB00166,12/5/22,Paramount+ with Showtime,US,Organic Search,Fire TV,45-54,Procedural,Active,,$11.99,10,TRUE,TRUE,High Value
SUB00167,6/29/22,Paramount+ with Showtime,AU,Partner Bundle,Tablet,55,Procedural,At-Risk,,$11.99,2,TRUE,TRUE,Flag
SUB00168,5/24/22,Essential,CA,App Store,Smart TV,25-34,Thriller,Active,,$5.99,6,FALSE,FALSE,Standard
SUB00169,8/20/23,Paramount+ with Showtime,US,Organic Search,Fire TV,25-34,Drama,Churned,9/24/23,$11.99,3,FALSE,TRUE,Standard
SUB00170,12/4/23,Paramount+ with Showtime,US,Referral,Tablet,55,Drama,Active,,$11.99,4,TRUE,TRUE,High Value
SUB00171,5/5/23,Annual,UK,App Store,Fire TV,55,Drama,Active,,$9.99,9,TRUE,FALSE,Standard
SUB00172,2/20/24,Essential,MX,Partner Bundle,Fire TV,55,Drama,Active,,$5.99,,TRUE,FALSE,Standard
SUB00173,3/5/22,Annual,US,Paid Social,Tablet,25-34,Thriller,Churned,9/3/23,$9.99,2,TRUE,FALSE,Standard
SUB00174,1/5/24,Annual,MX,TV Ad,Mobile,18-24,Thriller,At-Risk,,$9.99,,FALSE,FALSE,Flag
SUB00175,4/13/23,Paramount+ with Showtime,CA,Referral,Mobile,45-54,Procedural,At-Risk,,$11.99,,TRUE,TRUE,Flag
SUB00176,2/3/24,Essential,AU,Email Campaign,Fire TV,18-24,Procedural,Active,,$5.99,1,TRUE,FALSE,Standard
SUB00177,4/29/23,Essential,US,TV Ad,Fire TV,35-44,Drama,New,,$5.99,7,FALSE,FALSE,Standard
SUB00178,1/27/23,Paramount+ with Showtime,US,Referral,Fire TV,35-44,Thriller,Active,,$11.99,6,TRUE,TRUE,High Value
SUB00179,7/2/22,Annual,US,Referral,Smart TV,35-44,Drama,Winback,,$9.99,,TRUE,FALSE,Standard
SUB00180,11/2/22,Annual,AU,Partner Bundle,Desktop,55,Drama,Active,,$9.99,,FALSE,FALSE,Standard
SUB00181,12/21/22,Essential,US,TV Ad,Fire TV,25-34,Animation,Active,,$5.99,1,TRUE,FALSE,Standard
SUB00182,7/31/22,Essential,MX,Partner Bundle,Fire TV,55,Drama,New,,$5.99,4,TRUE,FALSE,Standard
SUB00183,2/16/23,Essential,US,Paid Social,Roku,45-54,Thriller,Active,,$5.99,,FALSE,FALSE,Standard
SUB00184,8/15/23,Paramount+ with Showtime,US,Email Campaign,Smart TV,55,Drama,At-Risk,,$11.99,7,FALSE,TRUE,Flag
SUB00185,10/9/22,Essential,AU,Partner Bundle,Desktop,55,Drama,New,,$5.99,7,FALSE,FALSE,Standard
SUB00186,12/15/23,Paramount+ with Showtime,AU,Paid Social,Roku,25-34,Drama,Active,,$11.99,,TRUE,TRUE,High Value
SUB00187,11/4/22,Paramount+ with Showtime,US,Partner Bundle,Desktop,25-34,Animation,Reactivated,,$11.99,3,FALSE,TRUE,Standard
SUB00188,9/6/22,Essential,MX,TV Ad,Tablet,35-44,Procedural,Active,,$5.99,4,TRUE,FALSE,Standard
SUB00189,10/2/22,Annual,US,TV Ad,Mobile,55,Drama,Active,,$9.99,10,TRUE,FALSE,Standard
SUB00190,5/6/23,Paramount+ with Showtime,US,Paid Social,Smart TV,35-44,Drama,Active,,$11.99,,FALSE,TRUE,High Value
SUB00191,9/6/22,Essential,AU,Paid Social,Roku,55,Procedural,At-Risk,,$5.99,7,FALSE,FALSE,Flag
SUB00192,7/1/23,Paramount+ with Showtime,UK,Partner Bundle,Desktop,35-44,Thriller,At-Risk,,$11.99,,FALSE,TRUE,Flag
SUB00193,2/19/24,Paramount+ with Showtime,AU,Organic Search,Roku,35-44,Thriller,Churned,4/15/24,$11.99,,TRUE,TRUE,Standard
SUB00194,1/17/22,Annual,AU,Email Campaign,Smart TV,55,Drama,Active,,$9.99,,FALSE,FALSE,Standard
SUB00195,8/7/23,Paramount+ with Showtime,CA,TV Ad,Desktop,45-54,Drama,Churned,5/18/24,$11.99,8,FALSE,TRUE,Standard
SUB00196,6/22/22,Essential,MX,Paid Social,Roku,25-34,Drama,Churned,7/17/23,$5.99,9,TRUE,FALSE,Standard
SUB00197,5/9/24,Essential,AU,Paid Social,Fire TV,18-24,Comedy,Churned,6/29/24,$5.99,,TRUE,FALSE,Standard
SUB00198,1/10/22,Paramount+ with Showtime,US,Partner Bundle,Fire TV,45-54,Drama,Active,,$11.99,8,FALSE,TRUE,High Value
SUB00199,1/17/22,Paramount+ with Showtime,US,Organic Search,Roku,45-54,Drama,New,,$11.99,,FALSE,TRUE,Standard
SUB00200,1/18/22,Paramount+ with Showtime,US,Organic Search,Mobile,55,Drama,Active,,$11.99,,TRUE,TRUE,High Value
SUB00201,9/27/23,Paramount+ with Showtime,AU,Organic Search,Tablet,35-44,Procedural,Active,,$11.99,4,TRUE,TRUE,High Value
SUB00202,11/4/22,Essential,US,App Store,Desktop,18-24,Procedural,At-Risk,,$5.99,1,TRUE,FALSE,Flag
SUB00203,12/21/23,Paramount+ with Showtime,UK,Partner Bundle,Mobile,45-54,Drama,Active,,$11.99,1,TRUE,TRUE,High Value
SUB00204,8/5/22,Annual,MX,Email Campaign,Mobile,55,Procedural,Reactivated,,$9.99,5,TRUE,FALSE,Standard
SUB00205,7/3/22,Essential,US,Partner Bundle,Smart TV,35-44,Drama,Reactivated,,$5.99,7,TRUE,FALSE,Standard
